timestamp,open,high,low,close,volume,datetime
1762351200000,101802.66,103426.0,96419.4,103206.16,41.62046,2025-11-05 14:00:00
1762354800000,103206.17,108606.8,97703.0,103715.44,43.15669,2025-11-05 15:00:00
1762358400000,103715.44,104039.66,103118.82,103947.6,31.3121,2025-11-05 16:00:00
1762362000000,103947.61,109959.43,93173.63,103911.38,46.61223,2025-11-05 17:00:00
1762365600000,103911.38,105944.26,103760.0,104343.63,49.01792,2025-11-05 18:00:00
1762369200000,104343.63,104603.83,49993.95,104050.59,45.58165,2025-11-05 19:00:00
1762372800000,104038.45,104534.74,97620.71,103891.87,33.20283,2025-11-05 20:00:00
1762376400000,103891.86,103891.86,103541.87,103677.54,27.49706,2025-11-05 21:00:00
1762380000000,103672.37,106079.98,100946.53,103738.49,24.26031,2025-11-05 22:00:00
1762383600000,103763.9,104100.0,98124.92,103898.13,18.67,2025-11-05 23:00:00
1762387200000,103898.14,103898.14,98530.9,103664.38,25.7803,2025-11-06 00:00:00
1762390800000,103664.38,103664.38,102748.58,103365.65,13.43929,2025-11-06 01:00:00
1762394400000,103374.18,103561.94,102856.63,103353.51,14.0239,2025-11-06 02:00:00
1762398000000,103330.96,103976.3,103253.45,103632.11,13.69815,2025-11-06 03:00:00
1762401600000,103632.12,104200.0,103580.0,104030.8,14.24752,2025-11-06 04:00:00
1762405200000,104030.79,104030.79,103093.81,103125.56,15.33828,2025-11-06 05:00:00
1762408800000,103125.55,103769.72,50000.0,103335.39,28.38053,2025-11-06 06:00:00
1762412400000,103335.4,103769.72,99470.46,103211.98,34.30966,2025-11-06 07:00:00
1762416000000,103211.98,103440.0,43000.0,103188.05,30.22076,2025-11-06 08:00:00
1762419600000,103188.05,103261.93,102845.0,102845.01,44.11504,2025-11-06 09:00:00
1762423200000,102845.01,103288.59,102661.33,103118.0,43.3808,2025-11-06 10:00:00
1762426800000,103118.0,103300.01,100539.01,103204.77,34.68128,2025-11-06 11:00:00
1762430400000,103204.77,103298.04,102423.61,102574.21,41.82672,2025-11-06 12:00:00
1762434000000,102574.22,103769.72,28800.0,103303.21,46.76125,2025-11-06 13:00:00
1762437600000,103303.21,103769.72,87825.04,102125.0,51.84852,2025-11-06 14:00:00
1762441200000,102125.0,103325.2,30000.0,102000.0,54.38606,2025-11-06 15:00:00
1762444800000,102000.01,103325.2,96040.6,100832.47,86.40355,2025-11-06 16:00:00
1762448400000,100832.49,103325.2,70540.01,101805.99,54.25351,2025-11-06 17:00:00
1762452000000,101804.01,103325.2,87566.36,101725.19,87.16952,2025-11-06 18:00:00
1762455600000,101725.2,103325.2,91323.77,101388.82,87.18708,2025-11-06 19:00:00
1762459200000,101388.82,103325.2,85000.0,100924.92,72.76025,2025-11-06 20:00:00
1762462800000,100924.92,101216.09,90355.74,101131.14,40.80391,2025-11-06 21:00:00
